a,b,c,d,real,imag
10.831210254171914,0.9322666050031903,15.590163290039676,12.521822063929605,0.45150522837485374,-0.302844905329315
32.645054453259874,26.49412493877716,0.04227552551254177,39.17388336310032,0.6772196558740678,-0.8326063651668315
17.986520128256604,3.8013933414060954,31.324457368790952,41.39377771245033,0.2674809754394594,-0.23210792169980704
44.136663997669366,3.725579298290066,22.75478976899235,40.63077662899558,0.5329116136538224,-0.7878355994967228
22.71188886230751,16.14044815396757,23.364194958733258,45.40016209310394,46.07608382104077,61.540610247071506
31.256286519964394,13.160462276980612,24.451147281152906,37.52444503372943,270.41302183053506,1494.6632068994118
44.04553387956235,14.554678251687802,26.590713335636067,6.904147161582408,1.6849525959239668,0.10986984562099385
22.22423966652789,5.761442944719564,15.440908314970025,32.07251096744447,158.37850502795337,801.7490827191759
5.043986230323511,27.877628945601217,33.013680561269425,37.558487156935946,38.057666791592936,65.43611610253717
38.379393291805236,31.886609390106692,11.524591088017583,36.6714802253444,26.854802203787653,-4.784870835237712
9.252665886943396,6.295687275343215,26.629290787889047,24.39829236561346,92.78791168030085,393.3989346357105
16.392956111620045,14.752385064310792,46.24426826811969,39.757957957065365,171.55555497996204,1333.9637123863977
4.0367914394668025,17.430946234066507,3.1605233099087418,25.21218552156012,-426.71387682794955,156.86724657021594
44.69149057311117,27.524911203654835,42.9996681804962,14.217843809272768,1530.3743767778876,1818.978681026861
39.0808009455897,46.67219429490472,45.502477753276885,23.698259347822297,-6.421676807687184,22.973934947082423
23.794751196415163,9.658907992919657,5.623017956223064,25.06174514022795,0.569746927145974,-0.821612935546082
13.969252841556635,22.943096794375023,3.9227677671117456,23.993387615642686,10.04648507444489,-1.0502908212676623
34.26975488591248,24.050541904361083,46.36757301001398,41.98341876170563,579.2813894910894,2553.926727917134
41.84067320096874,46.51762715266748,2.4995585038359747,19.94340640506253,-823.1367327991159,950.7190804360492
45.20822322413135,45.102010666762546,7.515274230791152,28.452112424498786,37.6929489933402,16.64989824226376
9.020822548436314,22.143676016727788,16.931859432709867,26.33688677220925,25.95268198114618,48.480562788937036
4.561974520768314,37.390278970526644,18.480716724196068,2.967183525249706,23.04269124496438,40.35746249577635
37.44152018970859,22.486345836478723,19.23949299074814,3.360644658944972,18.20202719896045,19.12570117753375
47.691221897236034,3.064755218581261,19.43168630894801,12.753998192567195,887.6329810790767,667.8071198998518
46.72940776019322,29.81667873533694,19.3817518607805,23.90578334434735,1.708819106142671,-0.5692973818903648
14.225273184771364,10.555390237966233,7.110727202505257,10.317236045111866,1.3378602104378028,-0.45672253427742326
12.793032422282884,49.09404560612837,30.870046258647644,21.850892782920106,1.026040550994334,0.8640785087243159
